FTN_RPD_SD,F_FILE_ID,PROJECT_NM,PRJCT_TYPE,CLOSR_IND,CLOSR_DT,CLOSR_TYPE,SITE_LOC,DFND_CAMP,RECDIST_CD,RECDIST_NM,ORG_UNT_NM,CLOSR_COM,ST_DESC,DRV_DIRCTN,LATITUDE,LONGITUDE,SHAPE,OBJECTID,X,Y
118,REC2984,MACKILL LAKE,SIT - Recreation Site,N,,,ALEXIS CREEK,2,RDMH,100 Mile-Chilcotin,Cariboo-Chilcotin Natural Resource District,,"Mackill Lake is located southwest of Palmer Lake, and is managed as a backcountry recreation and fishing destination, with access restricted to walk-in or horseback traffic only.  In order to protect the backcountry recreation experience, no motorized vehicles are allowed on the trail, or within 400 meters of the lakeshore.  The lake has been stocked with rainbow trout, and the water in the lake is exceptionally clear. Rustic facilities are available at two locations on the lakeshore for those wanting to tent or just to enjoy for the day.  A hiking trail can also be followed around the entire lake, and the trail along the north side of the lake is believed to follow the same route used by Lieutenant Henry Spencer Palmer, a Royal Engineer whose orders in 1862 were to find a suitable location for a road from the coast to the interior, from North Bentinck Arm to Fort Alexander (Alexandria).","From Williams Lake follow Hwy 20 west for approximately 67 km and turn right onto the Alex Graham - Palmer Lake Forest Service Road (1300 Road).  Follow the 1300 Road for approximately 52.3km and turn left onto the Alex Graham - Goering FSR (1700 Road). Travel approximately 12 km to the parking area on the left side of the road.  The access to the lake is via a non-motorized trail. Walk in 1 km to the north end of the lake.",52.331719,-123.302354,,31311537,479396.999959218,5797976.999986302
137,REC1723,GLIMPSE LAKE SOUTHWEST,SIT - Recreation Site,N,,,MERRITT,8,RDCS,Cascades,Cascades Natural Resource District,,"This site is located on the southwest side of Glimpse Lake. The site is located in a semi-open forest but is generally shady under spruce and fir trees. Although there is a rough cartop boat launch at this site, a better public boat launch can be found on the other side of the lake just before you enter the community. This recreation site is a popular location for fishermen, hunters and campers. For more information please contact the Recreation Site Operator at (250) 819 8162","From Merritt, the best way to get to Glimpse Lake is to travel east along Highway 5A past Quilchena on Nicola Lake. Exit onto Douglas Lake Road and travel approximately 7 km until reaching the intersection with Lauder Rd just past the hydro station. Turn left on to Lauder Rd and travel approximately 14 km to get to the Glimpse Lake Southwest site. Turn right at the cattle guard.Follow this road in for a kilometre. Be careful as the road is a bit narrow in spots for longer rigs.",50.243597,-120.288311,,31311556,693341.9999616367,5569233.99997626
138,REC1095,KNEWSTUBB LAKE,SIT - Recreation Site,N,,,VANDERHOOF,8,RDVA,Vanderhoof-Ft. St. James,Stuart Nechako Natural Resource District,,"A 8 unit site overlooking the Knewstubb Lake portion of the Nechako Resevoir. Located just east of the Kenney Dam, it is an ideal base for day trips.",Travel south on the Kenny Dam Road until it terminates at the juction of the 500 Road. Turn left(east) and drive 300m to the site access road.,53.574424,-124.93907300000001,,31311557,371608.9999826485,5937921.999956299
83,REC1962,BISSON LAKE,SIT - Recreation Site,N,,,CHERRYVILLE,4,RDOS,Okanagan,Okanagan Shuswap Natural Resource District,,"This lake has poor access but good fishing and camping opportunities. Car top boat launch, do not recommend taking a trailer into this site due to road condition.",Go east of Cherryville and travel 2.5 km south on the Kettle River Forest Service Road. Turn north onto KettleBison FSR and travel 2.4 km and take the left fork onto Bison FSR. This last 2.3 km stretch of road is extremely eroded and nearly impassable. 4WD is required beyond this fork.,50.046668999999994,-118.615704,,31311502,813851.7658978626,5553032.766652003
266,REC6078,RETALLACK CEDARS SITE,SIT - Recreation Site,N,,,NAKUSP,0,RDKB,Kootenay-Boundary,Selkirk Natural Resource District,,This is a short loop trail through a cedar-spruce ecosystem. An interpretive sign which describes the vegetation and wildlife along the trail is located near the start of the trail. This trail is actively used by bears; large hollow cedar trees have provided den locations in the past. Please stay on developed trails and treat the area with care. Trail may be closed seasonally due to Black Bear activity.,"Head west from kaslo on highway #31A for 28.6 km (measured from downtown Kaslo) to the old settlement of Rettallack. On the west side of the settlement, turn left onto a dirt road and immediately cross over a bridge. The trail starts on the right hand side of the road immediately after the bridge.",50.043327,-117.158374,,31311685,918148.5937316627,5559813.554836474
269,REC6675,LUNDBOM/TENT MOUNTAIN BIKE TRAIL,RTR - Recreation Trail,N,,,MERRITT,0,RDCS,Cascades,Cascades Natural Resource District,,"A 12.2 km linear mountain bike trail managed by the Merritt Mountain Bike Association that is incorporated into the Sugarloaf Mountain Bike Trail Area. Generally an easy to intermediate  trail winding through spruce and fir forest, along old and some used access roads and along existing ranchland trails.  Trail passes by the small Tent Lake.  Please do not venture off the trails onto the sensitive grasslands, disturb cattle grazing and close any slip wire gates you encounter.",,50.089487,-120.613516,,31311688,670705.9999868588,5551307.999960361
270,REC16164,Mackenzie Basin Loop,RTR - Recreation Trail,N,,,PEMBERTON,0,RDSQ,Squamish,Sea to Sky Natural Resource District,,,,50.335805,-122.79622499999999,,31311689,514501.99997400696,5575987.99995684
339,REC1682,Hatheume Lake South,SIT - Recreation Site,N,,,WEST KELOWNA,12,RDOS,Okanagan,Okanagan Shuswap Natural Resource District,,Hatheume site has a car top boat launch.  The lake is stocked with rainbow trout.,"Located approximately 100 km. (62 mi.) southeast of the town of Merritt (49� 59� 23.0� N 120� 2� 39.9� W ). From Merritt travel south on Hwy. #5A to Hwy. #97C located just before the community of Aspen Grove. Turn east on Hwy. #97C and drive to the Sunset interchange. Hatheume is found about 21 km. (13 km.) northeast of the Sunset interchange. Hatheume can also be reached by travelling west on Hwy. #97C from the town of Peachland. ( Hwy 97 C to Sunset Forest Service Roaad to Sunset Main to Bear Creek Forest Service Road)",49.986804,-120.043144,,31311758,711950.9999807733,5541354.000001058
342,REC5502,MT. MORRISEY CROSS COUNTRY SKI  TRAILS,RTR - Recreation Trail,N,,,SUN PEAKS MOUNTAIN RESORT,0,RDKA,Kamloops,Thompson Rivers Natural Resource District,,,,50.863205,-119.842168,,31311761,722211.9639827919,5639364.790770193
343,REC6804,Cypress Creek Trail,RTR - Recreation Trail,N,,,FORT ST. JOHN,0,RDPC,Peace - Ft. Nelson,Peace Natural Resource District,,"The trail leads into the Muskwa Ketchika and has Wildlife Act restriction on Access.  Contact the Ministry of Environment for details.The Cypress Creek Trail runs adjacent to the Royal Northwest Mounted Police Trail.  The RNWMP trail has significant provincial and First Nations cultral values. This trail is mainly motorized access.  The trail can be wet as it traverses though muskeg areas.  Users of the RNWMP trail will be non-motorized (Equestrian).",From Fort St John drive north on the Alaska Hwy for 158 km to Pink Mountain.  Turn onto the Cypress Creek Road and drive another 40 km.  Turn West up to the Cypress Creek Cemetery and keep past to the Airstrip.  The trailhead is 8 km passed the airstrip.  Access via the RNWMP trail is not permitted.,56.897501,-122.87764899999999,,31311762,507452.99999101076,6305983.000032554
